"Add Region","Agregar Provincia"
"Code","Código"
"Country","País"
"Delete Region","Borrar Provincia"
"Edit Region","Editar Provincia"
"Manage Regions","Administrar Provincias"
"Name","Nombre"
"Region does not exist","La Provincia no existe"
"Region Information","Información de la Provincia"
"Region was successfully deleted","La Provincia fue borrada correctamente"
"Region was successfully saved","La Provincia fue guardada correctamente"
"Regions Manager","Administrador de Provincias"
"Save And Continue Edit","Guardar y Continuar editando"
"Save Region","Guardar Provincia"
"The code must have between 1 and 32 characters","El código debe tener entre 1 y 32 caracteres"
